sample_id	predicted_ancestry	given_ancestry	EAS_prob	AFR_prob	AMR_prob	SAS_prob	EUR_prob	PC1	PC2	PC3	PC4	PC5
NA11830	EUR	EUR	0.0000	0.0000	0.0005	0.0000	0.9995	-0.0653	-12.7315	-1.7573	-8.1244	2.7847
HG01241	AFR	AMR	0.0000	0.8795	0.1205	0.0000	0.0000	-41.4142	8.7939	-2.0892	0.9527	3.4591
HG00288	EUR	EUR	0.0000	0.0000	0.0007	0.0000	0.9993	1.9128	-9.0147	-2.5193	-6.9518	-4.8988
HG02682	SAS	SAS	0.0000	0.0040	0.0000	0.9959	0.0000	-1.7324	0.4345	14.2333	1.7422	2.1816
HG00273	EUR	EUR	0.0000	0.0000	0.0005	0.0000	0.9995	1.4196	-8.9493	-3.9189	-7.7665	-5.9885
HG00851	EAS	EAS	1.0000	0.0000	0.0000	0.0000	0.0000	7.9485	43.9875	-0.2864	-6.6935	5.6594
HG04099	SAS	SAS	0.0000	0.0000	0.0000	1.0000	0.0000	-3.0378	5.2948	22.9217	8.6791	2.4717
HG00278	EUR	EUR	0.0000	0.0001	0.0004	0.0000	0.9996	0.7301	-9.9652	-2.3343	-7.5464	-5.4398
NA20516	EUR	EUR	0.0000	0.0000	0.0001	0.0000	0.9999	0.2990	-13.9878	-1.1773	-8.1812	5.9906
NA20908	SAS	SAS	0.0000	0.0000	0.0000	1.0000	0.0000	-1.1790	5.6700	20.8611	4.9886	0.4663
HG00101	EUR	EUR	0.0000	0.0000	0.0202	0.0000	0.9798	-0.2824	-13.2396	-3.9962	-6.3500	-0.8510
NA19749	AMR	AMR	0.0001	0.0100	0.9894	0.0005	0.0000	1.8710	4.8410	-6.5622	6.2795	0.2236
HG01848	EAS	EAS	1.0000	0.0000	0.0000	0.0000	0.0000	7.0763	42.8540	1.8940	-5.9701	7.7136
HG02810	AFR	AFR	0.0000	0.9999	0.0001	0.0000	0.0000	-57.9807	12.8149	2.0706	-3.3433	2.5247
HG03271	AFR	AFR	0.0000	1.0000	0.0000	0.0000	0.0000	-63.2738	17.1467	2.1483	-0.1666	1.8715
HG02253	AMR	AMR	0.0000	0.0000	1.0000	0.0000	0.0000	3.4436	5.8422	-12.6818	19.3325	2.5768
HG03082	AFR	AFR	0.0000	1.0000	0.0000	0.0000	0.0000	-62.5987	16.9515	1.6881	-1.5928	0.0460
HG03603	SAS	SAS	0.0000	0.0000	0.0000	1.0000	0.0000	0.1315	10.7579	20.5518	5.4503	5.0619
HG02360	EAS	EAS	1.0000	0.0000	0.0000	0.0000	0.0000	6.5445	43.1679	3.6252	-7.4484	5.3158
HG01284	AMR	AMR	0.0000	0.0005	0.9995	0.0000	0.0000	-2.2015	-2.8608	-5.7173	2.2727	8.1011
NA19923	AFR	AFR	0.0000	0.9814	0.0186	0.0000	0.0000	-38.3123	6.4404	0.7238	-1.2653	4.2263
NA18647	EAS	EAS	0.9999	0.0001	0.0000	0.0000	0.0000	8.3380	41.3625	-0.3800	-5.2918	-0.7924
NA19467	AFR	AFR	0.0000	1.0000	0.0000	0.0000	0.0000	-57.3883	15.1326	2.8176	-0.7897	-0.6914
HG00233	EUR	EUR	0.0000	0.0000	0.0067	0.0000	0.9933	-0.4133	-13.1561	-3.8096	-8.6823	5.1543
HG00632	EAS	EAS	1.0000	0.0000	0.0000	0.0000	0.0000	7.5287	44.2359	0.4592	-6.6878	2.2093
HG02023	EAS	EAS	1.0000	0.0000	0.0000	0.0000	0.0000	7.3733	42.5801	1.2046	-5.5534	4.5248
HG03046	AFR	AFR	0.0000	1.0000	0.0000	0.0000	0.0000	-61.6732	16.1588	2.2066	-0.5017	2.0366
HG00614	EAS	EAS	1.0000	0.0000	0.0000	0.0000	0.0000	6.4200	42.8204	0.0533	-6.5670	1.2429
HG03432	AFR	AFR	0.0000	0.9998	0.0002	0.0000	0.0000	-62.0448	15.3519	1.0360	0.6991	4.7041
HG04209	SAS	SAS	0.0000	0.0000	0.0000	1.0000	0.0000	-0.5003	5.7594	23.2161	7.3827	0.9647
NA20314	AMR	AFR	0.0000	0.0000	1.0000	0.0000	0.0000	3.9726	13.6295	-13.9800	17.8821	2.2173
HG01046	EAS	EAS	1.0000	0.0000	0.0000	0.0000	0.0000	6.1414	44.5939	1.1236	-8.4148	7.3242
HG01761	EUR	EUR	0.0000	0.0000	0.0006	0.0000	0.9994	-2.8671	-13.7427	-1.4709	-8.5301	4.9612
HG02512	EAS	EAS	1.0000	0.0000	0.0000	0.0000	0.0000	6.9669	42.5424	2.4555	-5.9873	5.8230
HG03446	AFR	AFR	0.0000	1.0000	0.0000	0.0000	0.0000	-63.0018	16.6145	1.2014	0.1113	0.9320
HG00173	EUR	EUR	0.0000	0.0000	0.0015	0.0000	0.9985	1.1816	-9.0330	-4.3034	-6.1802	-4.7075
HG01119	AMR	AMR	0.0000	0.0000	0.9990	0.0000	0.0009	-0.3748	-8.8973	-4.0105	-0.6653	7.2114
NA19129	AFR	AFR	0.0000	1.0000	0.0000	0.0000	0.0000	-61.9330	17.7926	1.8300	1.0504	3.5558
HG02688	SAS	SAS	0.0000	0.0000	0.0000	1.0000	0.0000	-0.0119	7.5746	21.9588	4.8782	3.9391
NA20412	AFR	AFR	0.0000	0.9991	0.0009	0.0000	0.0000	-47.0455	11.8916	0.6338	0.2946	1.6827
HG03571	AFR	AFR	0.0000	1.0000	0.0000	0.0000	0.0000	-61.4805	17.3805	2.8517	-1.0574	1.6790
HG02057	EAS	EAS	1.0000	0.0000	0.0000	0.0000	0.0000	7.0460	41.6408	2.4867	-7.4232	5.3234
NA20851	SAS	SAS	0.0000	0.0000	0.0000	1.0000	0.0000	0.7765	4.8835	19.2137	4.9396	0.9999
HG02445	AFR	AFR	0.0000	0.9998	0.0002	0.0000	0.0000	-51.3569	11.5481	1.6639	-1.6378	2.0369
